elemento,tipo,grupo,perfil,longitud_m,P_max_N,P_combo,P_extremo,Vy_max_N,Vy_combo,Vy_extremo,Vz_max_N,Vz_combo,Vz_extremo,V_resultante_max_N,V_resultante_combo,V_resultante_extremo,T_max_Nm,T_combo,T_extremo,My_max_Nm,My_combo,My_extremo,Mz_max_Nm,Mz_combo,Mz_extremo,M_resultante_max_Nm,M_resultante_combo,M_resultante_extremo
115,COLUMNA,Columna_1,IR 610 x 113.1,3.2,593171.5262288311,GRAV_DISEÑO,I,5102.469941236238,SISMO_UP_1,I,7078.618357421073,SISMO_DOWN_1,I,8725.559709450927,SISMO_DOWN_1,I,3.4665765994588122,SISMO_DOWN_1,I,24060.183970667636,SISMO_DOWN_1,I,8286.648297500878,SISMO_DOWN_1,I,25447.219744185142,SISMO_DOWN_1,I
116,COLUMNA,Columna_1,IR 610 x 113.1,3.2,316974.810873461,GRAV_DISEÑO,I,2364.4896804668683,SISMO_DOWN_1,I,34911.600896947566,SISMO_DOWN_1,I,34991.58025349505,SISMO_DOWN_1,I,3.4665765994588096,SISMO_DOWN_1,I,108225.82894605736,SISMO_DOWN_1,I,4070.2329662981515,SISMO_DOWN_1,I,108302.33999070014,SISMO_DOWN_1,I
117,VIGA,Viga_1,IR 457 x 59.5,6.32,0.0,,,4.856037153533118e-15,GRAV_DISEÑO,I,17894.575663362622,SISMO_DOWN_1,I,17894.575663362622,SISMO_DOWN_1,I,0.3484096626725491,SISMO_DOWN_1,I,66799.56917885084,SISMO_DOWN_1,I,1.5345077405164655e-14,GRAV_DISEÑO,I,66799.56917885084,SISMO_DOWN_1,I
118,VIGA,Viga_1,IR 457 x 59.5,6.2,0.0,,,4.583267013078039e-15,SISMO_DOWN_1,I,4310.828048537233,SISMO_DOWN_1,J,4310.828048537233,SISMO_DOWN_1,J,1.714140367029141,SISMO_DOWN_1,I,8896.112558652929,SISMO_DOWN_1,I,1.4208127740541919e-14,SISMO_DOWN_1,I,8896.112558652929,SISMO_DOWN_1,I
119,VIGA,Viga_1,IR 457 x 59.5,5.299999999999999,0.0,,,8.055846972878658e-15,GRAV_DISEÑO,I,4454.830507477832,SISMO_DOWN_1,J,4454.830507477832,SISMO_DOWN_1,J,1.5667791922339853,SISMO_DOWN_1,I,8656.246295037732,SISMO_DOWN_1,I,2.134799447812844e-14,GRAV_DISEÑO,I,8656.246295037732,SISMO_DOWN_1,I
120,VIGA,Viga_1,IR 457 x 59.5,6.2,0.0,,,4.583267013078039e-15,SISMO_DOWN_1,I,4460.176892460781,SISMO_DOWN_1,I,4460.176892460781,SISMO_DOWN_1,I,4.781740323569189,GRAV_DISEÑO,I,9744.56106855715,SISMO_DOWN_1,I,1.4208127740541919e-14,SISMO_DOWN_1,I,9744.56106855715,SISMO_DOWN_1,I
121,VIGA,Viga_1,IR 457 x 59.5,5.450000000000001,0.0,,,4.433965323570883e-15,SISMO_UP_1,I,22976.582345385395,SISMO_DOWN_1,J,22976.582345385395,SISMO_DOWN_1,J,0.6803831357698452,GRAV_DISEÑO,I,77620.68804743899,SISMO_DOWN_1,J,1.2082555506730659e-14,SISMO_UP_1,I,77620.68804743899,SISMO_DOWN_1,J
122,VIGA,Viga_1,IR 457 x 59.5,6.2,0.0,,,4.583267013078039e-15,SISMO_DOWN_1,I,5665.980552210252,SISMO_DOWN_1,J,5665.980552210252,SISMO_DOWN_1,J,2.7498403246114482,GRAV_DISEÑO,I,14038.264343156261,SISMO_DOWN_1,J,1.4208127740541919e-14,SISMO_DOWN_1,I,14038.264343156261,SISMO_DOWN_1,J
123,VIGA,Viga_1,IR 457 x 59.5,6.2,0.0,,,4.583267013078039e-15,SISMO_DOWN_1,I,7043.4924133536,SISMO_DOWN_1,J,7043.4924133536,SISMO_DOWN_1,J,1.565779136854709,SISMO_DOWN_1,I,21093.82019676364,SISMO_DOWN_1,J,1.4208127740541919e-14,SISMO_DOWN_1,I,21093.82019676364,SISMO_DOWN_1,J
124,VIGA,Viga_1,IR 457 x 59.5,6.32,0.0,,,4.856037153533118e-15,GRAV_DISEÑO,I,19997.53296197547,SISMO_DOWN_1,J,19997.53296197547,SISMO_DOWN_1,J,0.37137103764300383,SISMO_DOWN_5,I,60573.0577424556,SISMO_DOWN_1,I,1.5345077405164655e-14,GRAV_DISEÑO,I,60573.0577424556,SISMO_DOWN_1,I
125,VIGA,Viga_1,IR 457 x 59.5,6.1000000000000005,0.0,,,2.386697444760629e-14,SISMO_DOWN_1,I,3430.6802025802253,SISMO_DOWN_1,J,3430.6802025802253,SISMO_DOWN_1,J,1.6150116657869957,SISMO_DOWN_1,I,6333.062269874339,SISMO_DOWN_1,J,7.279427206519918e-14,SISMO_DOWN_1,I,6333.062269874339,SISMO_DOWN_1,J
126,VIGA,Viga_1,IR 457 x 59.5,1.5,0.0,,,3.1110987637815636e-13,SISMO_DOWN_1,I,91468.38505382967,GRAV_DISEÑO,I,91468.38505382967,GRAV_DISEÑO,I,20.941261045228114,GRAV_DISEÑO,I,77319.86885134238,GRAV_DISEÑO,J,2.3333240728361736e-13,SISMO_DOWN_1,I,77319.86885134238,GRAV_DISEÑO,J
127,VIGA,Viga_1,IR 457 x 59.5,3.799999999999999,0.0,,,1.2298247042077843e-14,SISMO_DOWN_5,I,31536.234712663918,GRAV_DISEÑO,J,31536.234712663918,GRAV_DISEÑO,J,7.34585590960026,GRAV_DISEÑO,I,77289.59945572256,GRAV_DISEÑO,I,2.336666937994789e-14,SISMO_DOWN_5,I,77289.59945572256,GRAV_DISEÑO,I
128,VIGA,Viga_1,IR 457 x 59.5,6.1000000000000005,0.0,,,2.386697444760629e-14,SISMO_DOWN_1,I,4966.030852088965,SISMO_DOWN_1,J,4966.030852088965,SISMO_DOWN_1,J,0.920376084660547,GRAV_DISEÑO,I,11088.12823268613,SISMO_DOWN_1,J,7.279427206519918e-14,SISMO_DOWN_1,I,11088.12823268613,SISMO_DOWN_1,J
129,VIGA,Viga_1,IR 457 x 59.5,5.450000000000001,0.0,,,4.433965323570883e-15,SISMO_UP_1,I,21564.104040897244,SISMO_DOWN_1,I,21564.104040897244,SISMO_DOWN_1,I,1.6744036954576123,GRAV_DISEÑO,I,62247.38551182078,SISMO_DOWN_1,J,1.2082555506730659e-14,SISMO_UP_1,I,62247.38551182078,SISMO_DOWN_1,J
130,VIGA,Viga_1,IR 457 x 59.5,6.32,0.0,,,4.856037153533118e-15,GRAV_DISEÑO,I,16240.029556325913,SISMO_DOWN_1,J,16240.029556325913,SISMO_DOWN_1,J,0.40716167551569876,SISMO_DOWN_5,I,47287.47876523644,SISMO_DOWN_1,I,1.5345077405164655e-14,GRAV_DISEÑO,I,47287.47876523644,SISMO_DOWN_1,I
131,VIGA,Viga_1,IR 457 x 59.5,6.199999999999999,0.0,,,3.134805000048797e-14,SISMO_DOWN_1,I,4298.677373942756,SISMO_DOWN_1,J,4298.677373942756,SISMO_DOWN_1,J,1.5604321915700696,SISMO_DOWN_1,I,9673.945383855009,SISMO_DOWN_1,J,9.717895500151268e-14,SISMO_DOWN_1,I,9673.945383855009,SISMO_DOWN_1,J
132,VIGA,Viga_1,IR 457 x 59.5,1.5,0.0,,,3.1110987637815636e-13,SISMO_DOWN_1,I,76898.1132305373,GRAV_DISEÑO,I,76898.1132305373,GRAV_DISEÑO,I,19.624361654815864,GRAV_DISEÑO,I,66159.24069928826,GRAV_DISEÑO,J,2.3333240728361736e-13,SISMO_DOWN_1,I,66159.24069928826,GRAV_DISEÑO,J
133,VIGA,Viga_1,IR 457 x 59.5,3.799999999999999,0.0,,,1.2298247042077843e-14,SISMO_DOWN_5,I,27723.733195189165,GRAV_DISEÑO,J,27723.733195189165,GRAV_DISEÑO,J,8.044485138453528,GRAV_DISEÑO,I,66150.5517526117,GRAV_DISEÑO,I,2.336666937994789e-14,SISMO_DOWN_5,I,66150.5517526117,GRAV_DISEÑO,I
134,VIGA,Viga_1,IR 457 x 59.5,6.199999999999999,0.0,,,3.134805000048797e-14,SISMO_DOWN_1,I,5763.362069357058,SISMO_DOWN_1,J,5763.362069357058,SISMO_DOWN_1,J,3.905300914046584,GRAV_DISEÑO,I,13853.895787199994,SISMO_DOWN_1,J,9.717895500151268e-14,SISMO_DOWN_1,I,13853.895787199994,SISMO_DOWN_1,J
135,VIGA,Viga_1,IR 457 x 59.5,5.450000000000001,0.0,,,4.433965323570883e-15,SISMO_UP_1,I,18228.52380017765,SISMO_DOWN_1,I,18228.52380017765,SISMO_DOWN_1,I,0.25760529230338913,SISMO_UP_5,I,51011.68621677329,SISMO_DOWN_1,J,1.2082555506730659e-14,SISMO_UP_1,I,51011.68621677329,SISMO_DOWN_1,J
136,VIGA,Viga_1,IR 457 x 59.5,6.199999999999999,0.0,,,3.134805000048797e-14,SISMO_DOWN_1,I,5722.508600265398,SISMO_DOWN_1,J,5722.508600265398,SISMO_DOWN_1,J,2.3828417113632665,GRAV_DISEÑO,I,13563.564306504979,SISMO_DOWN_1,J,9.717895500151268e-14,SISMO_DOWN_1,I,13563.564306504979,SISMO_DOWN_1,J
137,VIGA,Viga_1,IR 457 x 59.5,6.199999999999999,0.0,,,3.134805000048797e-14,SISMO_DOWN_1,I,4928.414354979124,SISMO_DOWN_1,J,4928.414354979124,SISMO_DOWN_1,J,1.668348742626774,SISMO_DOWN_1,I,10260.989452643285,SISMO_DOWN_1,J,9.717895500151268e-14,SISMO_DOWN_1,I,10260.989452643285,SISMO_DOWN_1,J
138,VIGA,Viga_1,IR 457 x 59.5,6.32,0.0,,,4.856037153533118e-15,GRAV_DISEÑO,I,10550.954081782183,SISMO_DOWN_1,I,10550.954081782183,SISMO_DOWN_1,I,0.6595785727733915,SISMO_DOWN_1,I,36712.6718090323,SISMO_DOWN_1,I,1.5345077405164655e-14,GRAV_DISEÑO,I,36712.6718090323,SISMO_DOWN_1,I
139,VIGA,Viga_1,IR 457 x 59.5,5.299999999999999,0.0,,,8.055846972878658e-15,GRAV_DISEÑO,I,3013.409719762526,SISMO_DOWN_1,I,3013.409719762526,SISMO_DOWN_1,I,1.6094171954465135,SISMO_DOWN_1,I,4909.248912022061,SISMO_DOWN_1,I,2.134799447812844e-14,GRAV_DISEÑO,I,4909.248912022061,SISMO_DOWN_1,I
140,VIGA,Viga_1,IR 457 x 59.5,5.450000000000001,0.0,,,4.433965323570883e-15,SISMO_UP_1,I,12138.534679633212,SISMO_DOWN_1,J,12138.534679633212,SISMO_DOWN_1,J,0.575048445723315,SISMO_DOWN_5,I,38706.00226512822,SISMO_DOWN_1,J,1.2082555506730659e-14,SISMO_UP_1,I,38706.00226512822,SISMO_DOWN_1,J
141,VIGA,Viga_1,IR 457 x 59.5,1.5,0.0,,,1.2221342833762393e-12,SISMO_DOWN_1,I,25276.627228993653,GRAV_DISEÑO,I,25276.627228993653,GRAV_DISEÑO,I,30.269395619849508,GRAV_DISEÑO,I,37032.99978903563,GRAV_DISEÑO,J,9.166007125321792e-13,SISMO_DOWN_1,I,37032.99978903563,GRAV_DISEÑO,J
142,VIGA,Viga_1,IR 457 x 59.5,4.6000000000000005,0.0,,,8.094364436076335e-14,SISMO_DOWN_1,I,9802.457575726465,GRAV_DISEÑO,J,9802.457575726465,GRAV_DISEÑO,J,8.688946676547815,GRAV_DISEÑO,I,37035.494971548476,GRAV_DISEÑO,I,1.8617038202975583e-13,SISMO_DOWN_1,I,37035.494971548476,GRAV_DISEÑO,I
143,VIGA,Viga_1,IR 457 x 59.5,3.799999999999999,0.0,,,1.2298247042077843e-14,SISMO_DOWN_5,I,4828.326282779908,GRAV_DISEÑO,J,4828.326282779908,GRAV_DISEÑO,J,2.8884954008236465,SISMO_DOWN_1,I,12830.12026226725,GRAV_DISEÑO,J,2.336666937994789e-14,SISMO_DOWN_5,I,12830.12026226725,GRAV_DISEÑO,J
144,VIGA,Viga_1,IR 457 x 59.5,1.5,0.0,,,1.2221342833762393e-12,SISMO_DOWN_1,I,40657.04956175837,GRAV_DISEÑO,I,40657.04956175837,GRAV_DISEÑO,I,4.200395303089862,GRAV_DISEÑO,I,60128.76571371642,GRAV_DISEÑO,I,9.166007125321792e-13,SISMO_DOWN_1,I,60128.76571371642,GRAV_DISEÑO,I
145,VIGA,Viga_1,IR 457 x 59.5,1.5,0.0,,,1.2221342833762393e-12,SISMO_DOWN_1,I,18626.749567021572,GRAV_DISEÑO,I,18626.749567021572,GRAV_DISEÑO,I,27.865709566970697,SISMO_UP_1,I,27087.129921940606,GRAV_DISEÑO,I,9.166007125321792e-13,SISMO_DOWN_1,I,27087.129921940606,GRAV_DISEÑO,I
146,VIGA,Viga_1,IR 457 x 59.5,5.450000000000001,0.0,,,4.433965323570883e-15,SISMO_UP_1,I,4422.659172478444,GRAV_DISEÑO,I,4422.659172478444,GRAV_DISEÑO,I,0.6595089082573454,GRAV_DISEÑO,I,12834.32065757034,GRAV_DISEÑO,I,1.2082555506730659e-14,SISMO_UP_1,I,12834.32065757034,GRAV_DISEÑO,I
201,COLUMNA,Columna_1,IR 610 x 113.1,3.2,262192.32616135984,GRAV_DISEÑO,I,3536.1590602884417,SISMO_DOWN_1,I,41474.88131870697,SISMO_DOWN_1,I,41625.355269360625,SISMO_DOWN_1,I,6.271283398234244,SISMO_DOWN_1,I,81943.20708357512,SISMO_DOWN_1,I,5690.271694428914,SISMO_DOWN_1,I,82140.54041152941,SISMO_DOWN_1,I
202,COLUMNA,Columna_1,IR 610 x 113.1,3.2,466171.78882919025,GRAV_DISEÑO,I,17495.438260527688,SISMO_DOWN_1,I,4269.7783977498075,SISMO_DOWN_1,I,18008.924662339698,SISMO_DOWN_1,I,6.271283398234244,SISMO_DOWN_1,I,7788.287985246401,SISMO_DOWN_1,J,28171.631196876297,SISMO_DOWN_1,I,28962.52223558115,SISMO_DOWN_1,I
203,COLUMNA,Columna_1,IR 610 x 113.1,3.2,422788.1813103076,GRAV_DISEÑO,I,18471.485648547638,SISMO_DOWN_1,I,5305.871060524618,SISMO_DOWN_1,I,19218.429950841823,SISMO_DOWN_1,I,6.2712833982342415,SISMO_DOWN_1,I,12073.208116232254,SISMO_DOWN_1,I,29640.7665465467,SISMO_DOWN_1,I,32005.271373396263,SISMO_DOWN_1,I
204,COLUMNA,Columna_1,IR 610 x 113.1,3.2,225031.2290177724,GRAV_DISEÑO,I,4100.86657296935,SISMO_DOWN_1,I,46215.653047329506,SISMO_DOWN_1,I,46397.237991505855,SISMO_DOWN_1,I,6.271283398234244,SISMO_DOWN_1,I,90762.48601994767,SISMO_DOWN_1,I,6725.7979481205575,SISMO_DOWN_1,I,91011.34669127877,SISMO_DOWN_1,I
205,COLUMNA,Columna_1,IR 610 x 113.1,3.2,482729.2236289993,GRAV_DISEÑO,I,4148.868035965681,SISMO_DOWN_1,I,36712.63380467609,SISMO_DOWN_1,I,36946.32034257408,SISMO_DOWN_1,I,6.271283398234244,SISMO_DOWN_1,I,72420.5150195186,SISMO_DOWN_1,I,6717.271825182848,SISMO_DOWN_1,I,72731.37381120828,SISMO_DOWN_1,I
