elemento,tipo,grupo,perfil,combo,tipo_combo,metodo,tipo_valor,extremo,nodo,longitud_m,P_N,Vy_N,Vz_N,T_Nm,My_Nm,Mz_Nm,V_resultante_N,M_resultante_Nm
112,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,12,3.2,292452.4622028233,-121.47472136488567,-1176.7894768761628,-0.2531373589313905,1433.995645708196,-430.8291304143771,1183.0425101479445,1497.3166837792446
112,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,28,3.2,-287836.8964428233,121.47472136488567,1176.7894768761628,0.2531373589313905,2331.7306802955245,42.11002204674298,1183.0425101479445,2332.1108934585864
113,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,13,3.2,362878.3605817791,-457.05636118856177,-1313.5655024501327,-0.2531373589313905,3570.2857901643442,-573.4921154140106,1390.8108593658587,3616.0522438000635
113,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,29,3.2,-358262.79482177907,457.05636118856177,1313.5655024501327,0.2531373589313905,633.1238176760803,-889.088240389387,1390.8108593658587,1091.4777449437213
114,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,14,3.2,641353.46544033,-215.97136128119013,2266.5835048832364,-0.2531373589313905,-6634.76918945971,-315.58789108397383,2276.84966862163,6642.2705390854635
114,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,30,3.2,-636737.89968033,215.97136128119013,-2266.5835048832364,0.2531373589313905,-618.2980261666462,-375.5204650158345,2276.84966862163,723.4003516776027
115,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,15,3.2,593171.5262288311,-0.9873052920709368,2065.3905029014077,-0.25313735893139183,-8121.630627298355,-86.27156469557987,2065.3907388789826,8122.088821796133
115,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,31,3.2,-588555.9604688311,0.9873052920683746,-2065.3905029014077,0.25313735893139183,1512.3810180138498,83.11218776095697,2065.3907388789826,1514.6629920226549
116,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,I,16,3.2,316974.810873461,-644.4412472602538,197.81311822759136,-0.2531373589313905,1958.148594774772,-988.6600913694365,674.1176091108099,2193.5803371394986
116,COLUMNA,Columna_1,IR 610 x 113.1,GRAV_DISEÑO,GRAVEDAD,GRAVEDAD,SIGNADO,J,32,3.2,-312359.245113461,644.4412472602538,-197.81311822759136,0.2531373589313905,-2591.1505731030643,-1073.5518998633756,674.1176091108099,2804.741516466821
