combo,criterio,nodo,x_m,y_m,z_m,Rx_N,Ry_N,Rz_N,Mx_Nm,My_Nm,Mz_Nm,Fx_cimentacion_N,Fy_cimentacion_N,Fz_cimentacion_N,Mx_cimentacion_Nm,My_cimentacion_Nm,Mz_cimentacion_Nm,P_compresion_N,levantamiento_N,V_horizontal_N,M_resultante_Nm
GRAV_DISEÑO,gravedad_signada,1,0.0,0.0,0.0,53903.637905777745,56462.03957942704,402907.89395834913,-1.502636878108376,-40.41320385474967,-0.6427154996086795,-53903.637905777745,-56462.03957942704,-402907.89395834913,1.502636878108376,40.41320385474967,0.6427154996086795,402907.89395834913,0.0,78061.28421276443,40.441129600853195
GRAV_DISEÑO,gravedad_signada,5,0.0,6.2,0.0,-386.62409800631633,-57997.324523572024,534704.6560995555,-314.9527536454795,-435.86938487188695,-0.6427154996086795,386.62409800631633,57997.324523572024,-534704.6560995555,314.9527536454795,435.86938487188695,0.6427154996086795,534704.6560995555,0.0,57998.61317381381,537.7521340705839
GRAV_DISEÑO,gravedad_signada,9,0.0,12.3,0.0,-303.5735686987447,56652.825659747235,520548.2681968122,373.8399065142744,-342.5292310133435,-0.6427154996086795,303.5735686987447,-56652.825659747235,-520548.2681968122,-373.8399065142744,342.5292310133435,0.6427154996086795,520548.2681968122,0.0,56653.63900179164,507.0330855094112
GRAV_DISEÑO,gravedad_signada,13,0.0,18.5,0.0,55739.214079308564,-58859.59579212128,427088.3332052274,26.000162842219176,-50.21059715795307,-0.6427154996086795,-55739.214079308564,58859.59579212128,-427088.3332052274,-26.000162842219176,50.21059715795307,0.6427154996086795,427088.3332052274,0.0,81063.62934751251,56.54301490706133
GRAV_DISEÑO,gravedad_signada,2,6.32,0.0,0.0,-56484.42559734883,172.7612482337307,508132.0988698083,-160.59052002051476,190.40328047969786,-0.6427154996086795,56484.42559734883,-172.7612482337307,-508132.0988698083,160.59052002051476,-190.40328047969786,0.6427154996086795,508132.0988698083,0.0,56484.689797424995,249.08376971992743
GRAV_DISEÑO,gravedad_signada,6,6.32,6.2,0.0,9981.483212601894,-48.22138580646001,1041472.6858436088,153.8307214323646,10546.510587841329,-3.0483250252925567,-9981.483212601894,48.22138580646001,-1041472.6858436088,-153.8307214323646,-10546.510587841329,3.0483250252925567,1041472.6858436088,0.0,9981.599692709708,10547.632410655277
GRAV_DISEÑO,gravedad_signada,10,6.32,12.3,0.0,8161.392198123357,136.23312897021566,992461.2093198819,-43.23704751936519,8625.064361639277,-3.0483250252925567,-8161.392198123357,-136.23312897021566,-992461.2093198819,43.23704751936519,-8625.064361639277,3.0483250252925567,992461.2093198819,0.0,8162.529147085345,8625.172733615145
GRAV_DISEÑO,gravedad_signada,14,6.32,18.5,0.0,-56960.09993085075,-166.050213234746,503070.36114399903,200.77539744814385,208.3784974198884,-0.6427154996086795,56960.09993085075,166.050213234746,-503070.36114399903,-200.77539744814385,-208.3784974198884,0.6427154996086795,503070.36114399903,0.0,56960.34196531671,289.365440934868
GRAV_DISEÑO,gravedad_signada,3,11.620000000000001,0.0,0.0,46353.117615532625,-257.95214465306265,433081.85196820734,302.3124092906544,-410.53334097283994,-0.6427154996084717,-46353.117615532625,257.95214465306265,-433081.85196820734,-302.3124092906544,410.53334097283994,0.6427154996084717,433081.85196820734,0.0,46353.83535359649,509.8337149124626
GRAV_DISEÑO,gravedad_signada,7,11.620000000000001,6.2,0.0,-4899.653870948224,7455.621089864153,779087.3834069711,-7835.097913413919,-5325.0419495646975,-3.0483250252983347,4899.653870948224,-7455.621089864153,-779087.3834069711,7835.097913413919,5325.0419495646975,3.0483250252983347,779087.3834069711,0.0,8921.48495995622,9473.374851519755
