elemento_id,grupo,tipo,perfil,combo,longitud_m,area_m2,ix_m4,iy_m4,r_min_m,kl_r,pu_N,mu_Nm,muy_Nm,muz_Nm,phi_pn_N,phi_mn_Nm,phi_mny_Nm,phi_mnz_Nm,ratio_axial,ratio_flexion,ratio_my,ratio_mz,dc,estado,rama_interaccion,extremo,tipo_revision
406,Columna_2,COLUMNA,ORC 254 x 15.9,SISMO_DOWN_1,3.1999999999999993,0.013548,0.000126534,0.000126534,0.09664202571214388,33.11188870907424,23744.744019009126,43143.087267995164,43143.06420883462,44.60589893521408,3594376.710138658,342598.97092500003,342598.97092500003,342598.97092500003,0.006606081091064364,0.12605896039665646,0.12592876181837473,0.00013019857828171634,0.12936200094218864,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,j,OR biaxial simetrico: misma capacidad en ambos ejes locales
410,Columna_2,COLUMNA,ORC 254 x 15.9,SISMO_DOWN_1,3.1999999999999993,0.013548,0.000126534,0.000126534,0.09664202571214388,33.11188870907424,20275.37532486204,36865.909659580655,36865.882674122186,44.60589893521408,3594376.710138658,342598.97092500003,342598.97092500003,342598.97092500003,0.005640859865264343,0.10773671757799193,0.10760651899971022,0.00013019857828171634,0.1105571475106241,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,j,OR biaxial simetrico: misma capacidad en ambos ejes locales
206,Columna_2,COLUMNA,ORC 254 x 15.9,SISMO_DOWN_1,3.2,0.013548,0.000126534,0.000126534,0.09664202571214388,33.11188870907425,20256.55643100823,33823.969072359556,33823.95408839431,31.837621291075692,3594376.710138658,342598.97092500003,342598.97092500003,342598.97092500003,0.005635624216535391,0.09882047111313981,0.09872754140816983,9.292970496997032e-05,0.1016382832214075,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
306,Columna_2,COLUMNA,ORC 254 x 15.9,SISMO_DOWN_1,3.200000000000001,0.013548,0.000126534,0.000126534,0.09664202571214388,33.11188870907426,20312.022749258183,33094.55184021879,33094.531196269585,36.96490319014459,3594376.710138658,342598.97092500003,342598.97092500003,342598.97092500003,0.005651055631415612,0.0967063503139147,0.09659845476743847,0.00010789554647622322,0.0995318781296225,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
106,Columna_2,COLUMNA,ORC 254 x 15.9,SISMO_DOWN_1,3.2,0.013548,0.000126534,0.000126534,0.09664202571214388,33.11188870907425,15042.250645456721,31359.563987590027,31359.562451928425,9.814038623144677,3594376.710138658,342598.97092500003,342598.97092500003,342598.97092500003,0.0041849399377163355,0.09156296180883389,0.0915343159591495,2.8645849684391244e-05,0.09365543177769206,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
407,Columna_2,COLUMNA,ORC 254 x 15.9,SISMO_DOWN_1,3.1999999999999993,0.013548,0.000126534,0.000126534,0.09664202571214388,33.11188870907424,16385.047891845305,30059.604963753565,30059.571868053914,44.60589893521408,3594376.710138658,342598.97092500003,342598.97092500003,342598.97092500003,0.004558522718452966,0.08787001807305304,0.08773981949477133,0.00013019857828171634,0.09014927943227953,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,j,OR biaxial simetrico: misma capacidad en ambos ejes locales
210,Columna_2,COLUMNA,ORC 254 x 15.9,SISMO_DOWN_1,3.2,0.013548,0.000126534,0.000126534,0.09664202571214388,33.11188870907425,17668.35649423623,29646.143273064852,29646.126177511942,31.837621291075692,3594376.710138658,342598.97092500003,342598.97092500003,342598.97092500003,0.004915555023600921,0.08662595721952698,0.086533027514557,9.292970496997032e-05,0.08908373473132744,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
310,Columna_2,COLUMNA,ORC 254 x 15.9,SISMO_DOWN_1,3.200000000000001,0.013548,0.000126534,0.000126534,0.09664202571214388,33.11188870907426,17933.626227462366,29229.08758346602,29229.0642094108,36.96490319014459,3594376.710138658,342598.97092500003,342598.97092500003,342598.97092500003,0.004989356340106753,0.08542357565635453,0.0853156801098783,0.00010789554647622322,0.0879182538264079,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
411,Columna_2,COLUMNA,ORC 254 x 15.9,SISMO_DOWN_1,3.1999999999999993,0.013548,0.000126534,0.000126534,0.09664202571214388,33.11188870907424,15556.687689793598,28513.29284619388,28513.257955670222,44.60589893521408,3594376.710138658,342598.97092500003,342598.97092500003,342598.97092500003,0.004328062677991667,0.08335653717085208,0.08322633859257036,0.00013019857828171634,0.0855205685098479,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,j,OR biaxial simetrico: misma capacidad en ambos ejes locales
110,Columna_2,COLUMNA,ORC 254 x 15.9,SISMO_DOWN_1,3.2,0.013548,0.000126534,0.000126534,0.09664202571214388,33.11188870907425,13570.59841702729,28218.71853389558,28218.716827309276,9.814038623144677,3594376.710138658,342598.97092500003,342598.97092500003,342598.97092500003,0.0037755081093054895,0.08239525877651296,0.08236661292682858,2.8645849684391244e-05,0.08428301283116571,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
303,Columna_1,COLUMNA,ORC 178 x 9.5,SISMO_DOWN_1,3.200000000000001,0.005787,2.7055e-05,2.7055e-05,0.06837495097517142,46.80076481754258,4590.286441533038,7592.397593003414,7592.393592770065,7.793760843976975,1426385.8946822712,103450.89392999999,103450.89392999999,103450.89392999999,0.003218123832159409,0.07346661845915711,0.07339128067764648,7.533778151062301e-05,0.07507568037523682,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
307,Columna_2,COLUMNA,ORC 254 x 15.9,SISMO_DOWN_1,3.200000000000001,0.013548,0.000126534,0.000126534,0.09664202571214388,33.11188870907426,14824.79618673713,24126.240888417964,24126.2125706026,36.96490319014459,3594376.710138658,342598.97092500003,342598.97092500003,342598.97092500003,0.004124441421212426,0.07052904277135853,0.07042114722488231,0.00010789554647622322,0.07259126348196475,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
