grupo,tipo,perfiles,elementos,P_max_N,P_elemento,P_combo,P_extremo,Vy_max_N,Vy_elemento,Vy_combo,Vy_extremo,Vz_max_N,Vz_elemento,Vz_combo,Vz_extremo,V_resultante_max_N,V_resultante_elemento,V_resultante_combo,V_resultante_extremo,T_max_Nm,T_elemento,T_combo,T_extremo,My_max_Nm,My_elemento,My_combo,My_extremo,Mz_max_Nm,Mz_elemento,Mz_combo,Mz_extremo,M_resultante_max_Nm,M_resultante_elemento,M_resultante_combo,M_resultante_extremo
Columna_1,COLUMNA,ORC 203 x 9.5,48,542638.924154906,102,SISMO_DOWN_1,I,8434.04512358953,408,GRAV_DISEÑO,I,2557.4162358755448,112,SISMO_DOWN_1,I,8437.225472231108,408,GRAV_DISEÑO,I,14.88521422755957,401,GRAV_DISEÑO,I,5686.476448776379,108,SISMO_DOWN_1,I,15780.352810006754,408,GRAV_DISEÑO,J,15782.3022734408,408,GRAV_DISEÑO,J
Columna_2,COLUMNA,ORC 305 x 12.7,16,1033049.6188108398,106,GRAV_DISEÑO,I,32362.28097156683,406,GRAV_DISEÑO,I,20903.169495015805,407,GRAV_DISEÑO,I,32366.556313231522,406,GRAV_DISEÑO,I,67.72764650627191,406,GRAV_DISEÑO,I,40625.29761390378,407,GRAV_DISEÑO,J,61910.747452692754,406,GRAV_DISEÑO,J,61915.73184158169,406,GRAV_DISEÑO,J
Contraviento_1,CONTRAVIENTO,ORC 114 x 5.3,32,116600.1160699587,156,SISMO_DOWN_1,I,57398.741289665995,263,GRAV_DISEÑO,I,125770.87402193525,257,SISMO_DOWN_1,I,125770.87403745543,257,SISMO_DOWN_1,I,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,
Contraviento_2,CONTRAVIENTO,ORC 89 x 4.8,32,77451.08993998857,367,SISMO_DOWN_1,I,35158.18565204887,463,SISMO_DOWN_1,I,85107.60811098221,358,SISMO_DOWN_1,I,85107.60811803323,358,SISMO_DOWN_1,I,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,
Viga_1,VIGA,IR 203 x 31.3,114,1.4775133143973915e-11,252,SISMO_DOWN_1,I,1.13016499949556e-12,349,SISMO_DOWN_1,I,76185.53887578905,130,GRAV_DISEÑO,I,76185.53887578905,130,GRAV_DISEÑO,I,53.038638118458834,130,GRAV_DISEÑO,I,71055.30625527265,330,GRAV_DISEÑO,I,8.476237496216703e-13,349,SISMO_DOWN_1,I,71055.30625527265,330,GRAV_DISEÑO,I
Viga_2,VIGA,IR 203 x 31.3,38,5.7666362749085315e-11,452,SISMO_DOWN_5,I,5.902528851108393e-13,449,SISMO_UP_1,I,75449.49214086698,430,GRAV_DISEÑO,I,75449.49214086698,430,GRAV_DISEÑO,I,52.49715863633453,430,GRAV_DISEÑO,I,67824.76695396629,430,GRAV_DISEÑO,I,4.4268966383312945e-13,449,SISMO_UP_1,I,67824.76695396629,430,GRAV_DISEÑO,I
