elemento_id,grupo,tipo,perfil,combo,longitud_m,area_m2,ix_m4,iy_m4,r_min_m,kl_r,pu_N,mu_Nm,phi_pn_N,phi_mn_Nm,ratio_axial,ratio_flexion,dc,estado,rama_interaccion
103,Columna_1,COLUMNA,IR 406 x 59.5,SISMO_DOWN_1,3.2,0.007620000000000001,0.00021561,1.203e-05,0.03973336327924323,80.53685205328905,12268.158924143361,30738.70802582988,1209931.6727028694,267378.3189,0.010139546885930748,0.1149633528712783,0.12003312631424368,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
102,Columna_1,COLUMNA,IR 406 x 59.5,SISMO_DOWN_1,3.2,0.007620000000000001,0.00021561,1.203e-05,0.03973336327924323,80.53685205328905,11827.413048797775,30663.869424425702,1209931.6727028694,267378.3189,0.00977527352629466,0.11468345507809871,0.11957109184124604,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
115,Columna_1,COLUMNA,IR 406 x 59.5,SISMO_DOWN_1,3.2,0.007620000000000001,0.00021561,1.203e-05,0.03973336327924323,80.53685205328905,12050.903674704345,30366.227135663852,1209931.6727028694,267378.3189,0.009959986953464737,0.11357026725499339,0.11855026073172575,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
105,Columna_1,COLUMNA,IR 406 x 59.5,SISMO_DOWN_1,3.2,0.007620000000000001,0.00021561,1.203e-05,0.03973336327924323,80.53685205328905,10973.186639282701,30295.570144310153,1209931.6727028694,267378.3189,0.009069261419340873,0.11330600876296464,0.11784063947263507,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
114,Columna_1,COLUMNA,IR 406 x 59.5,SISMO_DOWN_1,3.2,0.007620000000000001,0.00021561,1.203e-05,0.03973336327924323,80.53685205328905,11463.112693501467,29658.349081770742,1209931.6727028694,267378.3189,0.009474181850198195,0.11092278986488437,0.11565988078998346,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
109,Columna_1,COLUMNA,IR 406 x 59.5,SISMO_DOWN_1,3.2,0.007620000000000001,0.00021561,1.203e-05,0.03973336327924323,80.53685205328905,10677.67152805829,29679.71687304751,1209931.6727028694,267378.3189,0.008825020262677655,0.11100270581081699,0.11541521594215581,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
108,Columna_1,COLUMNA,IR 406 x 59.5,SISMO_DOWN_1,3.2,0.007620000000000001,0.00021561,1.203e-05,0.03973336327924323,80.53685205328905,10460.780811289547,29312.708359569013,1209931.6727028694,267378.3189,0.00864576161389443,0.10963008698746446,0.11395296779441168,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
112,Columna_1,COLUMNA,IR 406 x 59.5,SISMO_DOWN_1,3.2,0.007620000000000001,0.00021561,1.203e-05,0.03973336327924323,80.53685205328905,10222.660477711095,28716.353465718243,1209931.6727028694,267378.3189,0.008448956836442399,0.10739970833782604,0.11162418675604724,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
104,Columna_1,COLUMNA,IR 406 x 59.5,SISMO_DOWN_1,3.2,0.007620000000000001,0.00021561,1.203e-05,0.03973336327924323,80.53685205328905,10170.682600593633,28607.859818946024,1209931.6727028694,267378.3189,0.00840599748734019,0.10699394003462719,0.11119693877829728,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
101,Columna_1,COLUMNA,IR 406 x 59.5,SISMO_DOWN_1,3.2,0.007620000000000001,0.00021561,1.203e-05,0.03973336327924323,80.53685205328905,10150.607246286356,28377.021554827057,1209931.6727028694,267378.3189,0.008389405348494505,0.10613060053474312,0.11032530320899037,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
