elemento_id,grupo,tipo,perfil,combo,longitud_m,area_m2,ix_m4,iy_m4,r_min_m,kl_r,pu_N,mu_Nm,muy_Nm,muz_Nm,phi_pn_N,phi_mn_Nm,phi_mny_Nm,phi_mnz_Nm,ratio_axial,ratio_flexion,ratio_my,ratio_mz,dc,estado,rama_interaccion,extremo,tipo_revision
106,Columna_2,COLUMNA,MIXTA-ORC 457 x 15.9,SISMO_DOWN_1,3.2,0.04539823906129406,0.001080495738279708,0.001080495738279708,0.15427374615021816,20.74234975070951,27448.865358065716,71821.08253475185,71821.05053336789,67.79931455977602,8729696.377705324,1553175.373863827,1553175.373863827,1553175.373863827,0.0031443092829857256,0.04628508219847068,0.04624143013206487,4.3652066405812233e-05,0.04785723683996355,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,MIXTA-OR biaxial simetrica: misma capacidad en ambos ejes locales
110,Columna_2,COLUMNA,MIXTA-ORC 457 x 15.9,SISMO_DOWN_1,3.2,0.04539823906129406,0.001080495738279708,0.001080495738279708,0.15427374615021816,20.74234975070951,25766.86671941589,68087.11812690122,68087.08437052908,67.79931455977602,8729696.377705324,1553175.373863827,1553175.373863827,1553175.373863827,0.002951633780210456,0.04388099684811527,0.04383734478170946,4.3652066405812233e-05,0.0453568137382205,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,MIXTA-OR biaxial simetrica: misma capacidad en ambos ejes locales
406,Columna_2,COLUMNA,MIXTA-ORC 457 x 15.9,GRAV_DISEÑO,3.1999999999999993,0.04539823906129406,0.001080495738279708,0.001080495738279708,0.15427374615021816,20.742349750709508,33823.82363475344,65246.986109028265,65246.87082521661,122.6532886817369,8729696.377705324,1553175.373863827,1553175.373863827,1553175.373863827,0.003874570451400318,0.04208766454446087,0.04200869516936924,7.896937509163109e-05,0.044024949770161026,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,j,MIXTA-OR biaxial simetrica: misma capacidad en ambos ejes locales
107,Columna_2,COLUMNA,MIXTA-ORC 457 x 15.9,SISMO_DOWN_1,3.2,0.04539823906129406,0.001080495738279708,0.001080495738279708,0.15427374615021816,20.74234975070951,22081.63094683339,58437.984280697645,58437.94495055426,67.79931455978507,8729696.377705324,1553175.373863827,1553175.373863827,1553175.373863827,0.0025294844163455013,0.03766847276207424,0.03762482069566842,4.365206640581807e-05,0.03893321497024699,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,MIXTA-OR biaxial simetrica: misma capacidad en ambos ejes locales
111,Columna_2,COLUMNA,MIXTA-ORC 457 x 15.9,SISMO_DOWN_1,3.2,0.04539823906129406,0.001080495738279708,0.001080495738279708,0.15427374615021816,20.74234975070951,21412.805179416508,57204.71264803279,57204.672469973535,67.7993145597801,8729696.377705324,1553175.373863827,1553175.373863827,1553175.373863827,0.002452869407245644,0.036874439775630014,0.0368307877092242,4.365206640581486e-05,0.03810087447925284,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,MIXTA-OR biaxial simetrica: misma capacidad en ambos ejes locales
410,Columna_2,COLUMNA,MIXTA-ORC 457 x 15.9,GRAV_DISEÑO,3.1999999999999993,0.04539823906129406,0.001080495738279708,0.001080495738279708,0.15427374615021816,20.742349750709508,28046.02718586674,54041.98060797745,54041.84142128936,122.6532886817369,8729696.377705324,1553175.373863827,1553175.373863827,1553175.373863827,0.0032127150787847765,0.03487339267762554,0.03479442330253391,7.896937509163109e-05,0.03647975021701793,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,j,MIXTA-OR biaxial simetrica: misma capacidad en ambos ejes locales
103,Columna_1,COLUMNA,MIXTA-ORC 457 x 15.9,SISMO_DOWN_1,3.2,0.04539823906129406,0.001080495738279708,0.001080495738279708,0.15427374615021816,20.74234975070951,18122.235720132743,51285.13079680531,51285.085981193144,67.79931455978002,8729696.377705324,1553175.373863827,1553175.373863827,1553175.373863827,0.0020759296699499104,0.03306315961474627,0.03301950754834045,4.365206640581481e-05,0.03410112444972122,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,i,MIXTA-OR biaxial simetrica: misma capacidad en ambos ejes locales
115,Columna_1,COLUMNA,MIXTA-ORC 457 x 15.9,SISMO_DOWN_1,3.2,0.04539823906129406,0.001080495738279708,0.001080495738279708,0.15427374615021816,20.74234975070951,18068.544743126236,50801.48285089402,50801.43760862112,67.79931455977962,8729696.377705324,1553175.373863827,1553175.373863827,1553175.373863827,0.0020697792868571343,0.0327517663357189,0.03270811426931308,4.365206640581455e-05,0.03378665597914746,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,i,MIXTA-OR biaxial simetrica: misma capacidad en ambos ejes locales
102,Columna_1,COLUMNA,MIXTA-ORC 457 x 15.9,SISMO_DOWN_1,3.2,0.04539823906129406,0.001080495738279708,0.001080495738279708,0.15427374615021816,20.74234975070951,17338.355579781088,50501.49309669229,50501.4475856703,67.79931455977602,8729696.377705324,1553175.373863827,1553175.373863827,1553175.373863827,0.001986135007405449,0.0325586200703332,0.03251496800392739,4.3652066405812233e-05,0.03355168757403593,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,i,MIXTA-OR biaxial simetrica: misma capacidad en ambos ejes locales
114,Columna_1,COLUMNA,MIXTA-ORC 457 x 15.9,SISMO_DOWN_1,3.2,0.04539823906129406,0.001080495738279708,0.001080495738279708,0.15427374615021816,20.74234975070951,17412.877704984854,50212.625374443815,50212.57960160167,67.79931455977602,8729696.377705324,1553175.373863827,1553175.373863827,1553175.373863827,0.0019946716302133268,0.03237263464400622,0.03232898257760041,4.3652066405812233e-05,0.033369970459112885,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,MIXTA-OR biaxial simetrica: misma capacidad en ambos ejes locales
