elemento_id,grupo,tipo,perfil,combo,longitud_m,area_m2,ix_m4,iy_m4,r_min_m,kl_r,pu_N,mu_Nm,phi_pn_N,phi_mn_Nm,ratio_axial,ratio_flexion,dc,estado,rama_interaccion
103,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,45030.73438417419,115792.61407701348,2511705.2263129344,421059.4245,0.017928351588564873,0.27500302175759395,0.2839671975518764,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
102,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,43748.133100612285,114397.05913580643,2511705.2263129344,421059.4245,0.01741770198282085,0.2716886322438946,0.28039748323530506,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
104,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,35546.29781669773,105721.4130600999,2511705.2263129344,421059.4245,0.014152256978370836,0.2510843052275627,0.25816043371674813,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
101,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,33665.527611858466,103540.8136909097,2511705.2263129344,421059.4245,0.013403454855758645,0.2459054652769319,0.25260719270481125,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
115,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,37667.07683742267,97019.04594691812,2511705.2263129344,421059.4245,0.014996615224914817,0.23041651677106237,0.23791482438351977,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
105,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,31544.997095683375,97495.16452387678,2511705.2263129344,421059.4245,0.012559195547795214,0.2315472801485216,0.23782687792241922,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
108,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,31428.93257575649,97498.62308429497,2511705.2263129344,421059.4245,0.012512986096657804,0.23155549409699763,0.23781198714532653,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
114,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,36714.51016664678,95923.13259648302,2511705.2263129344,421059.4245,0.014617364244028732,0.22781376455446853,0.23512244667648288,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
112,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,29822.47885339198,92103.19781222248,2511705.2263129344,421059.4245,0.011873399211407456,0.21874156580533322,0.22467826541103694,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
109,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,29620.26511499908,91705.32148383404,2511705.2263129344,421059.4245,0.011792890664355644,0.21779662477032152,0.22369307010249934,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
116,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,29815.327743863538,88955.46104006567,2511705.2263129344,421059.4245,0.011870552098038606,0.2112658115792054,0.2172010876282247,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
113,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,29023.635731077105,87748.70775030191,2511705.2263129344,421059.4245,0.011555351092565285,0.2083998187536161,0.21417749429989874,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
203,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,45941.050274205474,79182.2646176997,2511705.2263129344,421059.4245,0.018290781017183608,0.18805484454296947,0.19720023505156128,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
202,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,43266.86858517781,74920.07411843493,2511705.2263129344,421059.4245,0.01722609330581819,0.17793230541603736,0.18654535206894646,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
303,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.200000000000001,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.23541269376019,37879.36593979261,67680.61775226501,2511705.226312934,421059.4245,0.015081135135987972,0.16073887393123773,0.1682794414992317,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
215,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,38164.65474758545,65639.65563392022,2511705.2263129344,421059.4245,0.015194718849874505,0.1558916671010655,0.16348902652600275,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
302,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.200000000000001,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.23541269376019,34948.49268491994,63181.37026105328,2511705.226312934,421059.4245,0.013914249299159479,0.15005333353143666,0.1570104581810164,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
214,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,36335.211408016854,62556.84242355952,2511705.2263129344,421059.4245,0.014466351794535716,0.1485701038466116,0.15580327974387945,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
406,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.1999999999999993,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.23541269376016,32495.90615043186,59192.71119929792,2511705.2263129344,421059.4245,0.01293778657224611,0.1405804210880403,0.14704931437416335,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
315,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.200000000000001,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.23541269376019,31411.0388011477,55661.26509294686,2511705.226312934,421059.4245,0.012505861942747812,0.13219337189529373,0.13844630286666765,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
314,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.200000000000001,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.23541269376019,29603.220941504416,52876.47920900671,2511705.226312934,421059.4245,0.011786104767142824,0.1255796121219624,0.1314726645055338,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
410,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.1999999999999993,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.23541269376016,28914.319967386513,52460.817228359294,2511705.2263129344,421059.4245,0.01151182856350997,0.12459243084430542,0.13034834512606042,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
206,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,31564.082761013695,51344.87030151995,2511705.2263129344,421059.4245,0.01256679423618045,0.12194209965135205,0.12822549676944228,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
204,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,27672.793733898085,49897.66530131577,2511705.2263129344,421059.4245,0.011017532409454134,0.11850504322654287,0.12401380943126994,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
210,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,28827.903464611227,47000.1158629138,2511705.2263129344,421059.4245,0.011477423052118754,0.11162347433197947,0.11736218585803884,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
403,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.1999999999999993,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.23541269376016,26050.230160459738,46885.88276785006,2511705.2263129344,421059.4245,0.01037153161428113,0.11135217510812434,0.1165379409152649,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
207,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,28046.84303295948,45688.75229481656,2511705.2263129344,421059.4245,0.011166454860680818,0.10850903610356441,0.11409226353390482,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
306,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.200000000000001,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.23541269376019,27562.54499643469,45170.44200020016,2511705.226312934,421059.4245,0.01097363843005384,0.10727806901327334,0.11276488822830026,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
407,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.1999999999999993,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.23541269376016,25572.91964463807,44836.31575798748,2511705.2263129344,421059.4245,0.010181497166440154,0.10648453199029982,0.1115752805735199,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
201,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,23871.139985483893,43492.68265561318,2511705.2263129344,421059.4245,0.009503957604342611,0.10329345485440661,0.10804543365657791,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
402,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.1999999999999993,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.23541269376016,23857.817355302595,42979.38849873714,2511705.2263129344,421059.4245,0.009498653387095409,0.10207440089905205,0.10682372759259975,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
211,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,25963.55074275738,42217.34066793356,2511705.2263129344,421059.4245,0.01033702142702098,0.10026456649929126,0.10543307721280175,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
307,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.200000000000001,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.23541269376019,25412.56060314863,41507.8257942876,2511705.226312934,421059.4245,0.010117652476462409,0.09857949585994268,0.10363832209817388,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
310,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.200000000000001,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.23541269376019,25210.842082827956,41363.94780672718,2511705.226312934,421059.4245,0.010037341093499373,0.0982377911522728,0.10325646169902249,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
216,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,23067.492431511186,41370.778418045236,2511705.2263129344,421059.4245,0.009183996668818173,0.09825401359243352,0.1028460119268426,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
208,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.2,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.235412693760175,22192.785532854065,40465.8736174971,2511705.2263129344,421059.4245,0.008835744457733217,0.09610489936319451,0.10052277159206112,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
304,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.200000000000001,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.23541269376019,20338.32405156684,40620.66541713008,2511705.226312934,421059.4245,0.008097416782232265,0.09647252395636635,0.10052123234748249,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
411,Columna_1,COLUMNA,IR 356 x 101.2,SISMO_DOWN_1,3.1999999999999993,0.01291,0.00030052000000000003,5.036e-05,0.06245680149249037,51.23541269376016,23081.130390300197,40382.68678816802,2511705.2263129344,421059.4245,0.00918942642970179,0.09590733383089974,0.10050204704575064,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + Mu/phiMn
