grupo,tipo,perfiles,elementos,P_max_N,P_elemento,P_combo,P_extremo,Vy_max_N,Vy_elemento,Vy_combo,Vy_extremo,Vz_max_N,Vz_elemento,Vz_combo,Vz_extremo,V_resultante_max_N,V_resultante_elemento,V_resultante_combo,V_resultante_extremo,T_max_Nm,T_elemento,T_combo,T_extremo,My_max_Nm,My_elemento,My_combo,My_extremo,Mz_max_Nm,Mz_elemento,Mz_combo,Mz_extremo,M_resultante_max_Nm,M_resultante_elemento,M_resultante_combo,M_resultante_extremo
Columna_1,COLUMNA,ORC 178 x 9.5,48,503471.28446725773,102,SISMO_DOWN_1,I,4580.997583137313,303,SISMO_DOWN_1,I,3162.215477418568,305,SISMO_DOWN_1,I,4735.527515714691,408,SISMO_DOWN_1,I,9.769561787381212,401,GRAV_DISEÑO,I,5611.793296815357,405,SISMO_DOWN_1,J,8126.433924912094,408,GRAV_DISEÑO,J,8402.974187237473,408,SISMO_DOWN_1,J
Columna_2,COLUMNA,ORC 254 x 15.9,16,1041472.6858436088,106,GRAV_DISEÑO,I,23740.772982744307,406,SISMO_DOWN_1,I,17051.533587057238,407,GRAV_DISEÑO,I,23816.195700739197,406,SISMO_DOWN_1,I,46.33589776619393,406,GRAV_DISEÑO,I,31800.499684448863,407,GRAV_DISEÑO,J,43143.06420883462,406,SISMO_DOWN_1,J,43272.06346826261,406,SISMO_DOWN_1,J
Contraviento_1,CONTRAVIENTO,ORC 127 x 6.4,32,133716.54644192685,156,SISMO_DOWN_1,I,80906.14371376035,263,GRAV_DISEÑO,I,140252.97612989126,257,SISMO_DOWN_1,I,140252.97615221652,257,SISMO_DOWN_1,I,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,
Contraviento_2,CONTRAVIENTO,ORC 76 x 6.4,32,77436.34383836781,367,SISMO_DOWN_1,I,35740.7808816549,463,SISMO_DOWN_1,I,83305.88761129342,358,SISMO_DOWN_1,I,83305.88761974628,358,SISMO_DOWN_1,I,0.0,0,,,0.0,0,,,0.0,0,,,0.0,0,,
Viga_1,VIGA,IR 356 x 44.6,114,4.16321477505368e-11,352,SISMO_DOWN_5,I,4.3099854746239056e-12,352,SISMO_DOWN_1,I,75335.11443401343,130,GRAV_DISEÑO,I,75335.11443401343,130,GRAV_DISEÑO,I,18.77216551424863,130,GRAV_DISEÑO,I,63887.05223493546,330,GRAV_DISEÑO,I,3.2324891059679284e-12,352,SISMO_DOWN_1,I,63887.05223493546,330,GRAV_DISEÑO,I
Viga_2,VIGA,IR 356 x 44.6,38,8.25546148369022e-11,452,GRAV_SERVICIO,I,2.221293428353258e-12,452,SISMO_DOWN_1,I,73827.64687317327,430,GRAV_DISEÑO,I,73827.64687317327,430,GRAV_DISEÑO,I,18.39096907219655,430,GRAV_DISEÑO,I,56403.11644209728,430,GRAV_DISEÑO,I,1.6659700712649432e-12,452,SISMO_DOWN_1,I,56403.11644209728,430,GRAV_DISEÑO,I
