elemento_id,grupo,tipo,perfil,combo,longitud_m,area_m2,ix_m4,iy_m4,r_min_m,kl_r,pu_N,mu_Nm,muy_Nm,muz_Nm,phi_pn_N,phi_mn_Nm,phi_mny_Nm,phi_mnz_Nm,ratio_axial,ratio_flexion,ratio_my,ratio_mz,dc,estado,rama_interaccion,extremo,tipo_revision
406,Columna_2,COLUMNA,ORC 305 x 12.7,GRAV_DISEÑO,3.1999999999999993,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.942230335620557,32374.94586286686,61910.784498221336,61910.747452692754,67.72764650627191,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.00882704365729149,0.14778837917361062,0.14762688182979272,0.00016149734381791097,0.15220190100225636,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,j,OR biaxial simetrico: misma capacidad en ambos ejes locales
410,Columna_2,COLUMNA,ORC 305 x 12.7,GRAV_DISEÑO,3.1999999999999993,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.942230335620557,26867.476877344205,51345.70725425755,51345.662586101804,67.72764650627191,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.007325429743176903,0.12259581408119684,0.12243431673737892,0.00016149734381791097,0.12625852895278528,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,j,OR biaxial simetrico: misma capacidad en ambos ejes locales
106,Columna_2,COLUMNA,ORC 305 x 12.7,SISMO_DOWN_1,3.2,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.942230335620565,19225.566152791493,44815.25090168434,44815.24637743057,20.137306540304213,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.0052418593218863975,0.10691048260989945,0.10686246497329657,4.801763660287552e-05,0.10953141227084265,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
110,Columna_2,COLUMNA,ORC 305 x 12.7,SISMO_DOWN_1,3.2,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.942230335620565,17446.655163522053,40971.921035100655,40971.91608645376,20.137306540304213,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.004756838434709338,0.09774601779492621,0.09769800015832333,4.801763660287552e-05,0.10012443701228088,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
206,Columna_2,COLUMNA,ORC 305 x 12.7,GRAV_DISEÑO,3.2,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.942230335620565,23691.71827330315,38950.90549712804,38950.880942088246,43.73650038574131,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.006459557720977107,0.09298310904058874,0.09287881885770848,0.0001042901828802535,0.09621288790107729,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,i,OR biaxial simetrico: misma capacidad en ambos ejes locales
210,Columna_2,COLUMNA,ORC 305 x 12.7,GRAV_DISEÑO,3.2,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.942230335620565,19815.13952453097,32657.494453952688,32657.465166918337,43.73650038574131,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.005402606768803056,0.07797638750719604,0.07787209732431578,0.0001042901828802535,0.08067769089159757,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,i,OR biaxial simetrico: misma capacidad en ambos ejes locales
107,Columna_2,COLUMNA,ORC 305 x 12.7,SISMO_DOWN_1,3.2,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.942230335620565,13475.224295186285,32003.449723434915,32003.443388006104,20.13730654030929,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.00367402600916261,0.07636059258649792,0.07631257494989503,4.801763660288763e-05,0.07819760559107923,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
306,Columna_2,COLUMNA,ORC 305 x 12.7,SISMO_DOWN_1,3.200000000000001,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.94223033562057,17976.67274234691,31227.089602182063,31227.047243696594,51.43406116719938,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.004901347967705501,0.0745838946127547,0.07446124950859474,0.00012264510415995988,0.07703456859660746,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
111,Columna_2,COLUMNA,ORC 305 x 12.7,SISMO_DOWN_1,3.2,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.942230335620565,12822.856656385946,30630.51114498158,30630.504525582437,20.137306540304557,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.0034961576768822596,0.07308680424534723,0.07303878660874435,4.801763660287634e-05,0.07483488308378837,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
407,Columna_2,COLUMNA,ORC 305 x 12.7,GRAV_DISEÑO,3.1999999999999993,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.942230335620557,14797.890140631089,28346.91406958146,28346.833160586633,67.72764650627191,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.004034651451169628,0.06775484359511988,0.06759334625130196,0.00016149734381791097,0.0697721693207047,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,j,OR biaxial simetrico: misma capacidad en ambos ejes locales
310,Columna_2,COLUMNA,ORC 305 x 12.7,SISMO_DOWN_1,3.200000000000001,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.94223033562057,15565.581252138592,27124.17257304491,27124.123807225067,51.43406116719938,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.004243962780531996,0.06480042698824415,0.06467778188408418,0.00012264510415995988,0.06692240837851014,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
411,Columna_2,COLUMNA,ORC 305 x 12.7,SISMO_DOWN_1,3.1999999999999993,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.942230335620557,12336.88284804838,25055.464922135496,25055.382373106968,64.31641907673158,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.003363656697863911,0.05989820762586187,0.05974484439266862,0.00015336323319325567,0.06158003597479383,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,j,OR biaxial simetrico: misma capacidad en ambos ejes locales
103,Columna_1,COLUMNA,ORC 203 x 9.5,SISMO_DOWN_1,3.2,0.00671,4.1623000000000005e-05,4.1623000000000005e-05,0.0787599495760886,40.62978731224982,3326.755780544401,6617.547868963037,6617.546388989555,4.425786769228908,1715029.2389532344,137610.82467,137610.82467,137610.82467,0.0019397662179654043,0.04812101222152195,0.04808885060356899,3.216161795296439e-05,0.049090895330504654,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
115,Columna_1,COLUMNA,ORC 203 x 9.5,SISMO_DOWN_1,3.2,0.00671,4.1623000000000005e-05,4.1623000000000005e-05,0.0787599495760886,40.62978731224982,3265.7846460057194,6527.121375313133,6527.11987483615,4.425786769228987,1715029.2389532344,137610.82467,137610.82467,137610.82467,0.001904215142127248,0.04746389448118245,0.047431732863229485,3.216161795296497e-05,0.04841600205224607,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
102,Columna_1,COLUMNA,ORC 203 x 9.5,SISMO_DOWN_1,3.2,0.00671,4.1623000000000005e-05,4.1623000000000005e-05,0.0787599495760886,40.62978731224982,3026.136171162507,6459.91004898747,6459.908532898959,4.425786769228819,1715029.2389532344,137610.82467,137610.82467,137610.82467,0.0017644808044261127,0.046975478383841494,0.04694331676588853,3.216161795296375e-05,0.04785771878605455,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
114,Columna_1,COLUMNA,ORC 203 x 9.5,SISMO_DOWN_1,3.2,0.00671,4.1623000000000005e-05,4.1623000000000005e-05,0.0787599495760886,40.62978731224982,2956.501056124029,6291.946076084153,6291.944519523535,4.425786769228819,1715029.2389532344,137610.82467,137610.82467,137610.82467,0.0017238779310424616,0.045754905701581854,0.04572274408362889,3.216161795296375e-05,0.046616844667103086,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
207,Columna_2,COLUMNA,ORC 305 x 12.7,SISMO_DOWN_1,3.2,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.942230335620565,10695.697685416753,18245.61363558229,18245.545838607737,49.73922205128431,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.002916186819717663,0.04362531542291708,0.04350671168191587,0.00011860374100121445,0.04508340883277591,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
307,Columna_2,COLUMNA,ORC 305 x 12.7,SISMO_DOWN_1,3.200000000000001,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.94223033562057,9950.34984701907,17726.838434124278,17726.763816526058,51.43406116719938,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.0027129673938915224,0.042392315150812196,0.04226967004665223,0.00012264510415995988,0.04374879884775796,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
112,Columna_1,COLUMNA,ORC 203 x 9.5,SISMO_DOWN_1,3.2,0.00671,4.1623000000000005e-05,4.1623000000000005e-05,0.0787599495760886,40.62978731224982,2543.5986841917065,5698.959256744056,5698.957538220498,4.425786769228819,1715029.2389532344,137610.82467,137610.82467,137610.82467,0.0014831226351243948,0.041445746282436885,0.04141358466448392,3.216161795296375e-05,0.042187307599999085,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
108,Columna_1,COLUMNA,ORC 203 x 9.5,SISMO_DOWN_1,3.2,0.00671,4.1623000000000005e-05,4.1623000000000005e-05,0.0787599495760886,40.62978731224982,2536.462759352486,5686.478171071875,5686.476448776379,4.425786769228819,1715029.2389532344,137610.82467,137610.82467,137610.82467,0.0014789618169429068,0.04135504782558184,0.041322886207628876,3.216161795296375e-05,0.04209452873405329,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,i,OR biaxial simetrico: misma capacidad en ambos ejes locales
403,Columna_1,COLUMNA,ORC 203 x 9.5,SISMO_DOWN_1,3.1999999999999993,0.00671,4.1623000000000005e-05,4.1623000000000005e-05,0.0787599495760886,40.62978731224981,3001.7452594564693,5518.5998817915615,5518.581778242136,14.135493047407047,1715029.2389532344,137610.82467,137610.82467,137610.82467,0.001750258940942943,0.04020553822388152,0.0401028174307949,0.00010272079308662607,0.04108066769435299,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
105,Columna_1,COLUMNA,ORC 203 x 9.5,SISMO_UP_1,3.2,0.00671,4.1623000000000005e-05,4.1623000000000005e-05,0.0787599495760886,40.62978731224982,2413.6911566882877,5543.7098995799115,5543.708436603712,4.027484219968214,1715029.2389532344,137610.82467,137610.82467,137610.82467,0.001407376097075453,0.04031467680051713,0.040285409595487105,2.9267205030028643e-05,0.041018364849054856,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
104,Columna_1,COLUMNA,ORC 203 x 9.5,SISMO_DOWN_1,3.2,0.00671,4.1623000000000005e-05,4.1623000000000005e-05,0.0787599495760886,40.62978731224982,2332.615302786116,5544.782386376956,5544.780620068535,4.425786769228819,1715029.2389532344,137610.82467,137610.82467,137610.82467,0.0013601023526629927,0.0403253626315018,0.040293201013548836,3.216161795296375e-05,0.0410054138078333,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,i,OR biaxial simetrico: misma capacidad en ambos ejes locales
109,Columna_1,COLUMNA,ORC 203 x 9.5,SISMO_UP_1,3.2,0.00671,4.1623000000000005e-05,4.1623000000000005e-05,0.0787599495760886,40.62978731224982,2407.1817830562236,5525.792902549864,5525.791434830066,4.027484219968214,1715029.2389532344,137610.82467,137610.82467,137610.82467,0.0014035806086463245,0.04018447627438401,0.040155209069353985,2.9267205030028643e-05,0.04088626657870718,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
101,Columna_1,COLUMNA,ORC 203 x 9.5,SISMO_DOWN_1,3.2,0.00671,4.1623000000000005e-05,4.1623000000000005e-05,0.0787599495760886,40.62978731224982,2403.2330765274114,5488.113955505999,5488.112170959262,4.425786769228819,1715029.2389532344,137610.82467,137610.82467,137610.82467,0.0014012781951135837,0.03991356036779785,0.039881398749844886,3.216161795296375e-05,0.04061419946535464,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,i,OR biaxial simetrico: misma capacidad en ambos ejes locales
311,Columna_2,COLUMNA,ORC 305 x 12.7,SISMO_DOWN_1,3.200000000000001,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.94223033562057,9188.664097466648,16357.026947586293,16356.946081142898,51.43406116719938,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.002505293429186994,0.039125969172607265,0.0390033240684473,0.00012264510415995988,0.040378615887200764,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
116,Columna_1,COLUMNA,ORC 203 x 9.5,SISMO_DOWN_1,3.2,0.00671,4.1623000000000005e-05,4.1623000000000005e-05,0.0787599495760886,40.62978731224982,2300.6992753184577,5426.42767742534,5426.425872592313,4.425786769228819,1715029.2389532344,137610.82467,137610.82467,137610.82467,0.0013414927413847976,0.039465294044891366,0.039433132426938404,3.216161795296375e-05,0.04013604041558377,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,i,OR biaxial simetrico: misma capacidad en ambos ejes locales
211,Columna_2,COLUMNA,ORC 305 x 12.7,SISMO_DOWN_1,3.2,0.013484000000000001,0.000190218,0.000190218,0.1187726465158028,26.942230335620565,9491.83468143035,16188.376371874532,16188.299959145043,49.73922205127427,3667699.7554128855,419373.129645,419373.129645,419373.129645,0.002587953026259049,0.03871978921239385,0.03860118547139266,0.00011860374100119052,0.04001376572552338,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
113,Columna_1,COLUMNA,ORC 203 x 9.5,SISMO_DOWN_1,3.2,0.00671,4.1623000000000005e-05,4.1623000000000005e-05,0.0787599495760886,40.62978731224982,2377.4074567712764,5377.856038487024,5377.854217353128,4.425786769228819,1715029.2389532344,137610.82467,137610.82467,137610.82467,0.0013862197814320202,0.03911233013121915,0.039080168513266185,3.216161795296375e-05,0.03980544002193516,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,i,OR biaxial simetrico: misma capacidad en ambos ejes locales
415,Columna_1,COLUMNA,ORC 203 x 9.5,SISMO_DOWN_1,3.1999999999999993,0.00671,4.1623000000000005e-05,4.1623000000000005e-05,0.0787599495760886,40.62978731224981,2745.923544256344,5117.556570134848,5117.537047874363,14.135493047407047,1715029.2389532344,137610.82467,137610.82467,137610.82467,0.001601094303169032,0.0372911982267955,0.03718847743370887,0.00010272079308662607,0.03809174537838001,Cumple,Pu/phiPn < 0.20: Pu/(2 phiPn) + My/phiMny + Mz/phiMnz,envolvente,OR biaxial simetrico: misma capacidad en ambos ejes locales
