combo,criterio,nodo,x_m,y_m,z_m,Rx_N,Ry_N,Rz_N,Mx_Nm,My_Nm,Mz_Nm,Fx_cimentacion_N,Fy_cimentacion_N,Fz_cimentacion_N,Mx_cimentacion_Nm,My_cimentacion_Nm,Mz_cimentacion_Nm,P_compresion_N,levantamiento_N,V_horizontal_N,M_resultante_Nm
GRAV_DISEÑO,gravedad_signada,1,0.0,0.0,0.0,24.809723000182686,250.52875725561253,356976.83825388603,-173.7391800911111,-3756.437702028394,-0.2531373589313905,-24.809723000182686,-250.52875725561253,-356976.83825388603,173.7391800911111,3756.437702028394,0.2531373589313905,356976.83825388603,0.0,251.7542066528133,3760.453365209984
GRAV_DISEÑO,gravedad_signada,5,0.0,6.2,0.0,-2550.1695604168553,-62.94235742457206,656625.095135707,167.03026383882377,-4511.045658967044,-0.2531373589313905,2550.1695604168553,62.94235742457206,-656625.095135707,-167.03026383882377,4511.045658967044,0.2531373589313905,656625.095135707,0.0,2550.9462023403903,4514.136910454033
GRAV_DISEÑO,gravedad_signada,9,0.0,12.3,0.0,-1601.7212292886265,-180.0998270169396,662350.7196975545,292.1205263149054,-1528.6014507729894,-0.2531373589313905,1601.7212292886265,180.0998270169396,-662350.7196975545,-292.1205263149054,1528.6014507729894,0.2531373589313905,662350.7196975545,0.0,1611.814767287296,1556.2637299634614
GRAV_DISEÑO,gravedad_signada,13,0.0,18.5,0.0,1306.4538791666398,-449.88240857629665,362878.3605817791,573.4921154140106,3570.2857901643442,-0.2531373589313905,-1306.4538791666398,449.88240857629665,-362878.3605817791,-573.4921154140106,-3570.2857901643442,0.2531373589313905,362878.3605817791,0.0,1381.7437967785384,3616.0522438000635
GRAV_DISEÑO,gravedad_signada,2,6.32,0.0,0.0,-172.01330371614026,168.08530449017684,635034.4832441463,4063.739726527193,-354.7876778477201,-0.2531373589313905,172.01330371614026,-168.08530449017684,-635034.4832441463,-4063.739726527193,354.7876778477201,0.2531373589313905,635034.4832441463,0.0,240.50207117797672,4079.197820810837
GRAV_DISEÑO,gravedad_signada,6,6.32,6.2,0.0,4534.26639730343,-919.9029278667942,1216990.2162465847,5248.2161668074605,4745.579207778647,-0.2531373589313905,-4534.26639730343,919.9029278667942,-1216990.2162465847,-5248.2161668074605,-4745.579207778647,0.2531373589313905,1216990.2162465847,0.0,4626.639510315551,7075.612690844532
GRAV_DISEÑO,gravedad_signada,10,6.32,12.3,0.0,3793.0350320466555,-2342.446081660062,1156767.101214269,6763.116503099765,4054.9369928244773,-0.2531373589313905,-3793.0350320466555,2342.446081660062,-1156767.101214269,-6763.116503099765,-4054.9369928244773,0.2531373589313905,1156767.101214269,0.0,4458.0453564110085,7885.572829558853
GRAV_DISEÑO,gravedad_signada,14,6.32,18.5,0.0,203.3319241464977,-2242.0109592483377,641353.46544033,6634.76918945971,315.58789108397343,-0.2531373589313905,-203.3319241464977,2242.0109592483377,-641353.46544033,-6634.76918945971,-315.58789108397343,0.2531373589313905,641353.46544033,0.0,2251.2123428869986,6642.2705390854635
GRAV_DISEÑO,gravedad_signada,3,11.620000000000001,0.0,0.0,-399.5692020291394,-915.2452894676134,576663.6212811063,6927.857734809956,-595.3659595716779,-0.2531373589275462,399.5692020291394,915.2452894676134,-576663.6212811063,-6927.857734809956,595.3659595716779,0.2531373589275462,576663.6212811063,0.0,998.6638509042263,6953.392942987102
GRAV_DISEÑO,gravedad_signada,7,11.620000000000001,6.2,0.0,-2880.7054444323744,9592.450537896955,941994.0238900218,-4259.245082837002,-3158.9472520177223,-0.25313735893375783,2880.7054444323744,-9592.450537896955,-941994.0238900218,4259.245082837002,3158.9472520177223,0.25313735893375783,941994.0238900218,0.0,10015.666287351127,5302.8404102614195
GRAV_DISEÑO,gravedad_signada,11,11.620000000000001,12.3,0.0,-2419.807067666696,-1108.5035539764858,617191.0940848853,7136.341258616185,-2573.0360656153443,-0.2531373589274305,2419.807067666696,1108.5035539764858,-617191.0940848853,-7136.341258616185,2573.0360656153443,0.2531373589274305,617191.0940848853,0.0,2661.6247620406966,7586.031976889164
GRAV_DISEÑO,gravedad_signada,15,11.620000000000001,18.5,0.0,-10.695705985471543,-2033.5132790694163,593171.5262288311,8121.630627298355,86.27156469557937,-0.25313735892688344,10.695705985471543,2033.5132790694163,-593171.5262288311,-8121.630627298355,-86.27156469557937,0.25313735892688344,593171.5262288311,0.0,2033.5414070724444,8122.088821796133
GRAV_DISEÑO,gravedad_signada,4,17.07,0.0,0.0,-1555.5894973650322,-715.4920991668903,305533.54907878384,1086.9717003180986,-5440.30379078767,-0.2531373589313905,1555.5894973650322,715.4920991668903,-305533.54907878384,-1086.9717003180986,5440.30379078767,0.2531373589313905,305533.54907878384,0.0,1712.246369037656,5547.829558787032
