motivos_seleccion,rank,factible,cumple_normativa,cumple_dc,dc_calculado,dc_limite,cumple_lrfd_detallado,lrfd_detallado_activo,lrfd_detallado_modo,lrfd_max_util,lrfd_penalizacion,lrfd_error,lrfd_vigas_ir_total,lrfd_vigas_ir_no_cumplen,lrfd_vigas_ir_util_max,lrfd_vigas_ir_elemento_critico,lrfd_vigas_ir_grupo_critico,lrfd_vigas_ir_perfil_critico,lrfd_vigas_ir_estado_limite,lrfd_vigas_ir_mu_kN_m,lrfd_vigas_ir_mr_kN_m,lrfd_columnas_or_total,lrfd_columnas_or_no_cumplen,lrfd_columnas_or_util_max,lrfd_columnas_or_interaccion_max,lrfd_columnas_or_elemento_critico,lrfd_columnas_or_grupo_critico,lrfd_columnas_or_perfil_critico,lrfd_columnas_or_combo_critico,lrfd_contravientos_or_total,lrfd_contravientos_or_no_cumplen,lrfd_contravientos_or_util_max,lrfd_contravientos_or_elemento_critico,lrfd_contravientos_or_grupo_critico,lrfd_contravientos_or_perfil_critico,lrfd_contravientos_or_estado_control,lrfd_contravientos_or_pu_kN,lrfd_contravientos_or_pr_kN,lrfd_contravientos_or_tr_kN,peso_kg,fitness_peso,fitness_dc,fitness_deriva,max_dc,max_dc_combo,max_dc_elemento,max_dc_extremo,max_dc_tipo_revision,max_dc_pu_N,max_dc_muy_Nm,max_dc_muz_Nm,max_dc_phi_pn_N,max_dc_phi_mny_Nm,max_dc_phi_mnz_Nm,max_dc_ratio_axial,max_dc_ratio_my,max_dc_ratio_mz,max_dc_rama,objetivo_dc_meta_util,objetivo_dc_max_util,cumple_objetivo_dc_max,exceso_objetivo_dc,objetivo_dc_equilibrio,cumple_deriva_servicio,deriva_servicio_calculada,deriva_servicio_limite,util_deriva_servicio,cumple_deriva_colapso,deriva_colapso_calculada,deriva_colapso_limite,util_deriva_colapso,factor_inelastico_deriva,deriva_elastica_max,deriva_combo,deriva_nivel,util_servicio,util_colapso,util_deriva,objetivo_deriva_modo,sistema_lateral,objetivo_deriva_min_util,objetivo_deriva_meta_util,cumple_objetivo_deriva_min,deficit_objetivo_deriva,objetivo_deriva_equilibrio,cumple_desplazamiento_azotea,desplazamiento_azotea_calculado_m,desplazamiento_azotea_limite_m,util_desplazamiento_azotea,desp_azotea_m,util_azotea,desp_azotea_combo,cumple_esbeltez,esbeltez_kl_r_calculada,esbeltez_kl_r_limite,util_esbeltez,esbeltez_elemento,esbeltez_kl_r,cumple_cortante_basal,requiere_escalamiento_cortante,factor_cortante,factor_cortante_combo,factor_cortante_direccion,cortante_invalido,cumple_constructibilidad,cumple_espesor_minimo,cumple_lrfd_local,cumple_columna_mismo_perfil_altura,cumple_telescopico,cumple_ancho_nudo,cumple_cfvd,cumple_guillotina,penal_constructibilidad,penal_constructibilidad_letal,penal_embudo,constructibilidad_total,constructibilidad_espesor,constructibilidad_lrfd_local,constructibilidad_columna_mismo_perfil_altura,constructibilidad_telescopico,constructibilidad_ancho_nudo,constructibilidad_cfvd,guillotina,genes,perfiles,Columna_1,Columna_2,Viga_1,Contraviento_1,Contraviento_2,Viga_2
"menor_peso, top_peso",1,True,True,True,0.7882629012420366,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.41414097834130226,0.41414097834130226,102,Columna_1,ORC 178 x 9.5,SISMO_DOWN_1,64,0,0.7881971082458503,367,Contraviento_2,ORC 76 x 6.4,compresion,76.94393089587804,97.62016390432899,448.70611365,40247.84742273924,40247.84742273924,0.00021524919883466822,0.0006550200987475108,0.7882629012420366,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,76943.93089587805,0.0,0.0,97612.01595894003,11596.096889999999,11596.096889999999,0.7882629012420366,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.00021524919883466822,True,0.0008623605792947574,0.005,0.17247211585895147,True,0.0038327136857544777,0.01,0.38327136857544775,4.444444444444445,0.0008623605792947574,SISMO_DOWN_1,Nivel 6.4 m,0.17247211585895147,0.38327136857544775,0.38327136857544775,auto,arriostrado,0.25,0.35,True,0.0,0.0006550200987475108,True,0.009489340485514308,0.1,0.09489340485514308,0.009489340485514308,0.09489340485514308,SISMO_DOWN_1,True,46.80076481754258,200.0,0.2340038240877129,301,46.80076481754258,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[98, 117, 24, 60, 51, 24]","[""ORC 178 x 9.5"", ""ORC 305 x 12.7"", ""IR 305 x 38.7"", ""ORC 89 x 6.4"", ""ORC 76 x 6.4"", ""IR 305 x 38.7""]",ORC 178 x 9.5,ORC 305 x 12.7,IR 305 x 38.7,ORC 89 x 6.4,ORC 76 x 6.4,IR 305 x 38.7
"deriva_colapso_mas_eficiente, deriva_servicio_mas_eficiente, top_peso",2,True,True,True,0.7927250866662979,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.415314432384979,0.415314432384979,102,Columna_1,ORC 178 x 9.5,SISMO_DOWN_1,64,0,0.7926589212302212,367,Contraviento_2,ORC 76 x 6.4,compresion,77.37949381072279,97.62016390432899,448.70611365,40261.67142273926,40261.67142273926,8.269431877012005e-05,0.0006966450836679561,0.7927250866662979,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,77379.4938107228,0.0,0.0,97612.01595894003,11596.096889999999,11596.096889999999,0.7927250866662979,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,8.269431877012005e-05,True,0.0008647025523798057,0.005,0.17294051047596112,True,0.0038431224550213587,0.01,0.3843122455021359,4.444444444444445,0.0008647025523798057,SISMO_DOWN_1,Nivel 6.4 m,0.17294051047596112,0.3843122455021359,0.3843122455021359,auto,arriostrado,0.25,0.35,True,0.0,0.0006966450836679561,True,0.009546048163361045,0.1,0.09546048163361044,0.009546048163361045,0.09546048163361044,SISMO_DOWN_1,True,46.80076481754258,200.0,0.2340038240877129,301,46.80076481754258,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[98, 118, 24, 60, 51, 24]","[""ORC 178 x 9.5"", ""ORC 254 x 15.9"", ""IR 305 x 38.7"", ""ORC 89 x 6.4"", ""ORC 76 x 6.4"", ""IR 305 x 38.7""]",ORC 178 x 9.5,ORC 254 x 15.9,IR 305 x 38.7,ORC 89 x 6.4,ORC 76 x 6.4,IR 305 x 38.7
top_peso,3,True,True,True,0.5454962914159522,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.40420482958582,0.40420482958582,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.5449578422992396,367,Contraviento_2,ORC 89 x 4.8,compresion,77.41196571378191,142.05129223789487,455.56094925,40394.85801210454,40394.85801210454,0.10120646512974052,7.904763317765013e-05,0.5454962914159522,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,77411.96571378192,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.5454962914159522,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.10120646512974052,True,0.0008135058052481658,0.005,0.16270116104963317,True,0.003615581356658515,0.01,0.3615581356658515,4.444444444444445,0.0008135058052481658,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.16270116104963317,0.3615581356658515,0.3615581356658515,auto,arriostrado,0.25,0.35,True,0.0,7.904763317765013e-05,True,0.009102206816388902,0.1,0.09102206816388902,0.009102206816388902,0.09102206816388902,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 117, 24, 63, 52, 24]","[""ORC 203 x 7.9"", ""ORC 305 x 12.7"", ""IR 305 x 38.7"", ""ORC 114 x 5.3"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 203 x 7.9,ORC 305 x 12.7,IR 305 x 38.7,ORC 114 x 5.3,ORC 89 x 4.8,IR 305 x 38.7
top_peso,4,True,True,True,0.548897291950335,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.40530412676832656,0.40530412676832656,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.548355485770041,367,Contraviento_2,ORC 89 x 4.8,compresion,77.8946053593729,142.05129223789487,455.56094925,40408.68201210455,40408.68201210455,0.0985196406091802,0.00010429608514269588,0.548897291950335,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,77894.6053593729,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.548897291950335,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.0985196406091802,True,0.0008173716955235048,0.005,0.16347433910470097,True,0.003632763091215577,0.01,0.3632763091215577,4.444444444444445,0.0008173716955235048,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.16347433910470097,0.3632763091215577,0.3632763091215577,auto,arriostrado,0.25,0.35,True,0.0,0.00010429608514269588,True,0.009152674285903863,0.1,0.09152674285903863,0.009152674285903863,0.09152674285903863,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 118, 24, 63, 52, 24]","[""ORC 203 x 7.9"", ""ORC 254 x 15.9"", ""IR 305 x 38.7"", ""ORC 114 x 5.3"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 203 x 7.9,ORC 254 x 15.9,IR 305 x 38.7,ORC 114 x 5.3,ORC 89 x 4.8,IR 305 x 38.7
top_peso,5,True,True,True,0.7889058319117714,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.40197984709275963,0.40197984709275963,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.7888399852528604,367,Contraviento_2,ORC 76 x 6.4,compresion,77.00668865467269,97.62016390432899,448.70611365,40441.35106843514,40441.35106843514,0.00019231338370292184,0.00012454637658968065,0.7889058319117714,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,77006.68865467269,0.0,0.0,97612.01595894003,11596.096889999999,11596.096889999999,0.7889058319117714,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.00019231338370292184,True,0.0008201431017706664,0.005,0.16402862035413326,True,0.003645080452314073,0.01,0.3645080452314073,4.444444444444445,0.0008201431017706664,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.16402862035413326,0.3645080452314073,0.3645080452314073,auto,arriostrado,0.25,0.35,True,0.0,0.00012454637658968065,True,0.00903303429796902,0.1,0.0903303429796902,0.00903303429796902,0.0903303429796902,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 117, 24, 65, 51, 24]","[""ORC 203 x 7.9"", ""ORC 305 x 12.7"", ""IR 305 x 38.7"", ""ORC 102 x 6.4"", ""ORC 76 x 6.4"", ""IR 305 x 38.7""]",ORC 203 x 7.9,ORC 305 x 12.7,IR 305 x 38.7,ORC 102 x 6.4,ORC 76 x 6.4,IR 305 x 38.7
dc_mas_eficiente,18,True,True,True,0.7969227039259589,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.39551300236654,0.39551300236654,102,Columna_1,ORC 178 x 9.5,SISMO_DOWN_1,64,0,0.796856188132386,367,Contraviento_2,ORC 76 x 6.4,compresion,77.78923169366234,97.62016390432899,448.70611365,41167.58158093797,41167.58158093797,1.4796486136420614e-05,0.00019793574779443685,0.7969227039259589,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,77789.23169366234,0.0,0.0,97612.01595894003,11596.096889999999,11596.096889999999,0.7969227039259589,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,1.4796486136420614e-05,True,0.00082865171967517,0.005,0.165730343935034,True,0.0036828965318896445,0.01,0.36828965318896445,4.444444444444445,0.00082865171967517,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.165730343935034,0.36828965318896445,0.36828965318896445,auto,arriostrado,0.25,0.35,True,0.0,0.00019793574779443685,True,0.008579618596759642,0.1,0.08579618596759642,0.008579618596759642,0.08579618596759642,SISMO_DOWN_1,True,46.80076481754258,200.0,0.2340038240877129,301,46.80076481754258,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[98, 118, 24, 70, 51, 24]","[""ORC 178 x 9.5"", ""ORC 254 x 15.9"", ""IR 305 x 38.7"", ""ORC 102 x 7.9"", ""ORC 76 x 6.4"", ""IR 305 x 38.7""]",ORC 178 x 9.5,ORC 254 x 15.9,IR 305 x 38.7,ORC 102 x 7.9,ORC 76 x 6.4,IR 305 x 38.7
mejor_balance_objetivos,55,True,True,True,0.7933074947549592,1.0,True,True,completo,0.7932412807077236,0.0,,152,0,0.7446149957078021,132,Viga_1,IR 356 x 44.6,PLT,68.74808413584375,93.58292851947972,64,0,0.3910979917647057,0.3910979917647057,102,Columna_1,ORC 178 x 9.5,SISMO_DOWN_1,64,0,0.7932412807077236,367,Contraviento_2,ORC 76 x 6.4,compresion,77.43634383836782,97.62016390432899,448.70611365,44835.368598837245,44835.368598837245,6.998379133577985e-05,9.757895650343068e-05,0.7933074947549592,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,77436.34383836781,0.0,0.0,97612.01595894003,11596.096889999999,11596.096889999999,0.7933074947549592,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,6.998379133577985e-05,True,0.0008163937529534441,0.005,0.1632787505906888,True,0.003628416679793085,0.01,0.3628416679793085,4.444444444444445,0.0008163937529534441,SISMO_DOWN_1,Nivel 9.600000000000001 m,0.1632787505906888,0.3628416679793085,0.3628416679793085,auto,arriostrado,0.25,0.35,True,0.0,9.757895650343068e-05,True,0.008346318995696914,0.1,0.08346318995696914,0.008346318995696914,0.08346318995696914,SISMO_DOWN_1,True,46.80076481754258,200.0,0.2340038240877129,301,46.80076481754258,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[98, 118, 30, 71, 51, 30]","[""ORC 178 x 9.5"", ""ORC 254 x 15.9"", ""IR 356 x 44.6"", ""ORC 127 x 6.4"", ""ORC 76 x 6.4"", ""IR 356 x 44.6""]",ORC 178 x 9.5,ORC 254 x 15.9,IR 356 x 44.6,ORC 127 x 6.4,ORC 76 x 6.4,IR 356 x 44.6
"deriva_equilibrada, menor_esbeltez",59,True,True,True,0.7210401868366654,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,132,Viga_1,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.29255371630670157,0.29255371630670157,102,Columna_1,ORC 254 x 9.5,SISMO_DOWN_1,64,0,0.7209800046383303,367,Contraviento_2,ORC 76 x 6.4,compresion,70.38218622453768,97.62016390432899,448.70611365,45810.727422739255,45810.727422739255,0.009741643898107373,3.76112077693438e-12,0.7210401868366654,SISMO_DOWN_1,367,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,70382.18622453768,0.0,0.0,97612.01595894003,11596.096889999999,11596.096889999999,0.7210401868366654,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.009741643898107373,True,0.0007875056726306901,0.005,0.157501134526138,True,0.003500025211691956,0.01,0.3500025211691956,4.444444444444445,0.0007875056726306901,SISMO_DOWN_1,Nivel 6.4 m,0.157501134526138,0.3500025211691956,0.3500025211691956,auto,arriostrado,0.25,0.35,True,0.0,3.76112077693438e-12,True,0.008508805220024727,0.1,0.08508805220024726,0.008508805220024727,0.08508805220024726,SISMO_DOWN_1,True,32.20505430675566,200.0,0.16102527153377832,301,32.20505430675566,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[107, 123, 24, 60, 51, 24]","[""ORC 254 x 9.5"", ""ORC 406 x 12.7"", ""IR 305 x 38.7"", ""ORC 89 x 6.4"", ""ORC 76 x 6.4"", ""IR 305 x 38.7""]",ORC 254 x 9.5,ORC 406 x 12.7,IR 305 x 38.7,ORC 89 x 6.4,ORC 76 x 6.4,IR 305 x 38.7
